seed,t0,delta,step_ahead,clock_ahead,baseline_midprice,level_midprice,baseline_delta_p,level_delta_p,response_vs_baseline,level_effect_vs_baseline
334,2,-2.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,-2.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,-2.0,8,120.0,995.0,994.5,-3.5,-4.0,-0.5,-0.5
334,2,-2.0,9,135.0,995.0,994.5,-3.5,-4.0,-0.5,-0.5
334,2,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
334,2,-1.0,1,15.0,997.5,998.5,-1.0,0.0,1.0,1.0
334,2,-1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,-1.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,-1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,-1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,-1.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,-1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,-1.0,8,120.0,995.0,994.5,-3.5,-4.0,-0.5,-0.5
334,2,-1.0,9,135.0,995.0,994.5,-3.5,-4.0,-0.5,-0.5
334,2,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
334,2,0.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,0.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,0.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,0.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,0.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,0.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,0.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,0.0,8,120.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,0.0,9,135.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
334,2,1.0,1,15.0,997.5,998.0,-1.0,-0.5,0.5,0.5
334,2,1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,1.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,1.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,1.0,8,120.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,1.0,9,135.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
334,2,2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,2.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,2.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,2.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,2.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,2.0,8,120.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,2.0,9,135.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
334,2,3.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
334,2,3.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,3.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
334,2,3.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,3.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
334,2,3.0,8,120.0,995.0,995.0,-3.5,-3.5,0.0,0.0
334,2,3.0,9,135.0,995.0,995.0,-3.5,-3.5,0.0,0.0
349,3,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,-3.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-3.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,-2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-2.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,-1.0,1,15.0,997.5,998.5,-1.0,0.0,1.0,1.0
349,3,-1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,-1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,0.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,0.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,0.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,1.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,2.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
349,3,3.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
349,3,3.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
351,2,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-3.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-3.0,2,30.0,998.5,997.5,0.0,-1.0,-1.0,-1.0
351,2,-3.0,3,45.0,997.5,997.0,-1.0,-1.5,-0.5,-0.5
351,2,-3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,-3.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-2.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-2.0,2,30.0,998.5,997.5,0.0,-1.0,-1.0,-1.0
351,2,-2.0,3,45.0,997.5,997.0,-1.0,-1.5,-0.5,-0.5
351,2,-2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-1.0,2,30.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,-1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
351,2,-1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,-1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,0.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,0.0,2,30.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,0.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
351,2,0.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,0.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,1.0,2,30.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
351,2,1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,2.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,2.0,2,30.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,2.0,3,45.0,997.5,998.5,-1.0,0.0,1.0,1.0
351,2,2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,2.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,3.0,1,15.0,998.5,998.0,0.0,-0.5,-0.5,-0.5
351,2,3.0,2,30.0,998.5,998.5,0.0,0.0,0.0,0.0
351,2,3.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
351,2,3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
351,2,3.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,-3.0,1,15.0,997.5,998.0,-1.0,-0.5,0.5,0.5
358,2,-3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,-3.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-3.0,5,75.0,995.5,996.5,-3.0,-2.0,1.0,1.0
358,2,-3.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,-3.0,7,105.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,-3.0,8,120.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,-3.0,9,135.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,-2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,-2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,-2.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-2.0,5,75.0,995.5,996.0,-3.0,-2.5,0.5,0.5
358,2,-2.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,-2.0,7,105.0,994.5,995.0,-4.0,-3.5,0.5,0.5
358,2,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,-1.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,-1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,-1.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,-1.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,-1.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,-1.0,7,105.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,-1.0,8,120.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,-1.0,9,135.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,0.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,0.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,0.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,0.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,0.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,0.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,0.0,7,105.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,0.0,8,120.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,0.0,9,135.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,1.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,1.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,1.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,1.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,1.0,7,105.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,1.0,8,120.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,1.0,9,135.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,2.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,2.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,2.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,2.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,2.0,7,105.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,2.0,8,120.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,2.0,9,135.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
358,2,3.0,1,15.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
358,2,3.0,3,45.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
358,2,3.0,5,75.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,3.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
358,2,3.0,7,105.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,3.0,8,120.0,994.5,994.5,-4.0,-4.0,0.0,0.0
358,2,3.0,9,135.0,994.5,994.5,-4.0,-4.0,0.0,0.0
360,2,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,-3.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,-3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,-3.0,3,45.0,997.5,996.5,-1.0,-2.0,-1.0,-1.0
360,2,-3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,-3.0,5,75.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
360,2,-3.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-3.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-3.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-3.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,-2.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,-2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,-2.0,3,45.0,997.5,996.5,-1.0,-2.0,-1.0,-1.0
360,2,-2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,-2.0,5,75.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
360,2,-2.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-2.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-2.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-2.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,-1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,-1.0,2,30.0,997.5,998.0,-1.0,-0.5,0.5,0.5
360,2,-1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,-1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,-1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,-1.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-1.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,-1.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,0.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,0.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,0.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,0.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,0.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,0.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,0.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,0.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,0.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,1.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,1.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,1.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,2.0,1,15.0,998.5,997.5,0.0,-1.0,-1.0,-1.0
360,2,2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,2.0,3,45.0,997.5,996.5,-1.0,-2.0,-1.0,-1.0
360,2,2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,2.0,5,75.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
360,2,2.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,2.0,7,105.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
360,2,2.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,2.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
360,2,3.0,1,15.0,998.5,997.5,0.0,-1.0,-1.0,-1.0
360,2,3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,3.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
360,2,3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,3.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
360,2,3.0,6,90.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,3.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,3.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
360,2,3.0,9,135.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,-3.0,1,15.0,998.5,998.0,0.0,-0.5,-0.5,-0.5
361,3,-3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,-3.0,3,45.0,997.5,997.0,-1.0,-1.5,-0.5,-0.5
361,3,-3.0,4,60.0,996.5,997.0,-2.0,-1.5,0.5,0.5
361,3,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,-2.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,-2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,-2.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,-2.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,-2.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,-1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,-1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,-1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,-1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,-1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,-1.0,6,90.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,-1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,-1.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,0.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,0.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,0.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,0.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,0.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,0.0,6,90.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,0.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,0.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,1.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,1.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,1.0,6,90.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,1.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,2.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,2.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,2.0,4,60.0,996.5,997.5,-2.0,-1.0,1.0,1.0
361,3,3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
361,3,3.0,1,15.0,998.5,998.0,0.0,-0.5,-0.5,-0.5
361,3,3.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,3.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
361,3,3.0,4,60.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,3.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
361,3,3.0,6,90.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
361,3,3.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
361,3,3.0,8,120.0,995.5,995.5,-3.0,-3.0,0.0,0.0
367,2,-3.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,-3.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,-3.0,2,30.0,997.5,998.0,-1.0,-0.5,0.5,0.5
367,2,-3.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
367,2,-3.0,4,60.0,997.0,996.5,-1.5,-2.0,-0.5,-0.5
367,2,-3.0,5,75.0,996.5,996.5,-2.0,-2.0,0.0,0.0
367,2,-3.0,6,90.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
367,2,-3.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
367,2,-3.0,8,120.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
367,2,-3.0,9,135.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
367,2,-2.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,-2.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,-2.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
367,2,-2.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
367,2,-2.0,4,60.0,997.0,996.5,-1.5,-2.0,-0.5,-0.5
367,2,-2.0,5,75.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
367,2,-2.0,6,90.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
367,2,-2.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
367,2,-2.0,8,120.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
367,2,-2.0,9,135.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
367,2,-1.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,-1.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,-1.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
367,2,-1.0,3,45.0,997.5,997.5,-1.0,-1.0,0.0,0.0
367,2,-1.0,4,60.0,997.0,996.5,-1.5,-2.0,-0.5,-0.5
367,2,-1.0,5,75.0,996.5,996.0,-2.0,-2.5,-0.5,-0.5
367,2,-1.0,6,90.0,996.5,995.5,-2.0,-3.0,-1.0,-1.0
367,2,-1.0,7,105.0,995.5,995.5,-3.0,-3.0,0.0,0.0
367,2,-1.0,8,120.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
367,2,-1.0,9,135.0,995.5,994.5,-3.0,-4.0,-1.0,-1.0
367,2,0.0,0,0.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,0.0,1,15.0,998.5,998.5,0.0,0.0,0.0,0.0
367,2,0.0,2,30.0,997.5,997.5,-1.0,-1.0,0.0,0.0
